"","genes_GO_full$Gene","genes_GO_full$`GO term accession`"
"1","Zm00001d008862","GO:0009690"
"2","Zm00001d008862","GO:0019139"
"3","Zm00001d008862","GO:0050660"
"4","Zm00001d008862","GO:0016614"
"5","Zm00001d008862","GO:0055114"
"6","Zm00001d008862","GO:0016491"
"7","Zm00001d008862","GO:0003824"
"8","Zm00001d008862","GO:0010229"
"9","Zm00001d051080","GO:0009116"
"10","Zm00001d051080","GO:0016757"
"11","Zm00001d051080","GO:0016740"
"12","Zm00001d051080","GO:0016757"
"13","Zm00001d051080","GO:0016740"
"14","Zm00001d051080","GO:0009116"
"15","Zm00001d051080","GO:0016757"
"16","Zm00001d051080","GO:0016740"
"17","Zm00001d051080","GO:0006168"
"18","Zm00001d051080","GO:0003999"
"19","Zm00001d051080","GO:0009116"
"20","Zm00001d051080","GO:0005737"
"21","Zm00001d051080","GO:0016757"
"22","Zm00001d051080","GO:0016740"
"23","Zm00001d051080","GO:0006168"
"24","Zm00001d051080","GO:0003999"
"25","Zm00001d051080","GO:0009116"
"26","Zm00001d051080","GO:0005737"
"27","Zm00001d051080","GO:0016757"
"28","Zm00001d051080","GO:0016740"
"29","Zm00001d051080","GO:0009116"
"30","Zm00001d051080","GO:0016757"
"31","Zm00001d051080","GO:0016740"
"32","Zm00001d051080","GO:0009116"
"33","Zm00001d051080","GO:0016757"
"34","Zm00001d051080","GO:0016740"
"35","Zm00001d051080","GO:0009116"
"36","Zm00001d051080","GO:0016757"
"37","Zm00001d051080","GO:0016740"
"38","Zm00001d051080","GO:0006168"
"39","Zm00001d051080","GO:0003999"
"40","Zm00001d051080","GO:0009116"
"41","Zm00001d051080","GO:0005737"
"42","Zm00001d051080","GO:0016757"
"43","Zm00001d051080","GO:0016740"
"44","Zm00001d030393","GO:0016021"
"45","Zm00001d030393","GO:0016020"
"47","Zm00001d020418","GO:0055114"
"48","Zm00001d020418","GO:0020037"
"49","Zm00001d020418","GO:0016705"
"50","Zm00001d020418","GO:0005506"
"51","Zm00001d002410","GO:0042546"
"52","Zm00001d002410","GO:0010411"
"53","Zm00001d002410","GO:0048046"
"54","Zm00001d002410","GO:0005618"
"55","Zm00001d002410","GO:0005576"
"56","Zm00001d002410","GO:0006073"
"57","Zm00001d002410","GO:0016762"
"58","Zm00001d002410","GO:0008152"
"59","Zm00001d002410","GO:0005975"
"60","Zm00001d002410","GO:0016798"
"61","Zm00001d002410","GO:0004553"
"62","Zm00001d002410","GO:0071555"
"63","Zm00001d002410","GO:0016740"
"64","Zm00001d002410","GO:0016787"
"65","Zm00001d031044","GO:0046983"
"67","Zm00001d006511","GO:0022857"
"68","Zm00001d006511","GO:0055085"
"69","Zm00001d006511","GO:0016021"
"70","Zm00001d006511","GO:0016020"
"71","Zm00001d006511","GO:0016021"
"72","Zm00001d006511","GO:0016020"
"73","Zm00001d006511","GO:0022857"
"74","Zm00001d006511","GO:0055085"
"75","Zm00001d006511","GO:0016021"
"76","Zm00001d006511","GO:0016020"
"78","Zm00001d006511","GO:0016021"
"79","Zm00001d006511","GO:0016020"
"80","Zm00001d006511","GO:0022857"
"81","Zm00001d006511","GO:0055085"
"82","Zm00001d006511","GO:0016021"
"83","Zm00001d006511","GO:0016020"
"84","Zm00001d048416","GO:0071949"
"85","Zm00001d048416","GO:0004497"
"86","Zm00001d048416","GO:0055114"
"88","Zm00001d040364","GO:0042744"
"89","Zm00001d040364","GO:0006979"
"90","Zm00001d040364","GO:0020037"
"91","Zm00001d040364","GO:0098869"
"92","Zm00001d040364","GO:0004601"
"93","Zm00001d040364","GO:0005576"
"94","Zm00001d040364","GO:0055114"
"95","Zm00001d040364","GO:0016491"
"96","Zm00001d040364","GO:0046872"
"97","Zm00001d021205","GO:0005634"
"98","Zm00001d021205","GO:0006355"
"99","Zm00001d021205","GO:0006351"
"100","Zm00001d021205","GO:0003700"
"101","Zm00001d021205","GO:0003677"
"103","Zm00001d019060","GO:0008152"
"104","Zm00001d019060","GO:0003824"
"105","Zm00001d019060","GO:0016114"
"106","Zm00001d019060","GO:0008661"
"107","Zm00001d019060","GO:0008152"
"108","Zm00001d019060","GO:0003824"
"109","Zm00001d019060","GO:0016114"
"110","Zm00001d019060","GO:0008661"
"114","Zm00001d024664","GO:0019752"
"115","Zm00001d024664","GO:0016831"
"116","Zm00001d024664","GO:0016829"
"117","Zm00001d024664","GO:0006520"
"118","Zm00001d024664","GO:0030170"
"119","Zm00001d024664","GO:0003824"
"121","Zm00001d025005","GO:0004499"
"122","Zm00001d025005","GO:0050661"
"123","Zm00001d025005","GO:0004497"
"124","Zm00001d025005","GO:0050660"
"125","Zm00001d025005","GO:0055114"
"126","Zm00001d025005","GO:0016491"
"127","Zm00001d025005","GO:0004499"
"128","Zm00001d025005","GO:0050661"
"129","Zm00001d025005","GO:0004497"
"130","Zm00001d025005","GO:0050660"
"131","Zm00001d025005","GO:0055114"
"132","Zm00001d025005","GO:0016491"
"135","Zm00001d020395","GO:0016021"
"136","Zm00001d020395","GO:0016020"
"138","Zm00001d020395","GO:0016021"
"139","Zm00001d020395","GO:0016020"
"140","Zm00001d032495","GO:0043086"
"141","Zm00001d032495","GO:0004857"
"143","Zm00001d021291","GO:0000160"
"144","Zm00001d021291","GO:0005634"
"145","Zm00001d021291","GO:0000160"
"146","Zm00001d021291","GO:0005634"
"147","Zm00001d021291","GO:0000160"
"148","Zm00001d021291","GO:0005634"
"149","Zm00001d021291","GO:0000160"
"150","Zm00001d021291","GO:0005634"
"151","Zm00001d021291","GO:0000160"
"152","Zm00001d021291","GO:0005634"
"153","Zm00001d021291","GO:0000160"
"154","Zm00001d021291","GO:0005634"
"157","Zm00001d034783","GO:0003676"
"160","Zm00001d006948","GO:0004497"
"161","Zm00001d006948","GO:0055114"
"162","Zm00001d006948","GO:0016491"
"163","Zm00001d006948","GO:0020037"
"164","Zm00001d006948","GO:0016705"
"165","Zm00001d006948","GO:0005506"
"166","Zm00001d006948","GO:0046872"
"167","Zm00001d043740","GO:0016310"
"168","Zm00001d043740","GO:0016301"
"169","Zm00001d043740","GO:0006468"
"170","Zm00001d043740","GO:0005524"
"171","Zm00001d043740","GO:0004674"
"172","Zm00001d043740","GO:0004672"
"173","Zm00001d043740","GO:0000166"
"177","Zm00001d016948","GO:0016021"
"178","Zm00001d016948","GO:0016020"
"179","Zm00001d018773","GO:0005634"
"180","Zm00001d018773","GO:0006355"
"181","Zm00001d018773","GO:0006351"
"182","Zm00001d018773","GO:0003677"
